Table 1a: All settlements by locality and council area (sorted alphabetically by settlement),,,,,,
,,,,,,
"Settlement name1, 2",Settlement code,Locality name1,Locality code,Council area name,Council area code,
"Galashiels, Settlement of",S20001229,Tweedbank,S19001897,Scottish Borders,S12000026,
Galston,S20001230,Galston,S19001537,East Ayrshire,S12000008,
Gardenstown,S20001231,Gardenstown,S19001538,Aberdeenshire,S12000034,
Garelochhead,S20001232,Garelochhead,S19001539,Argyll and Bute,S12000035,
Gargunnock,S20001233,Gargunnock,S19001540,Stirling,S12000030,
Garmouth,S20001234,Garmouth,S19001541,Moray,S12000020,
Gartcosh,S20001235,Gartcosh,S19001542,North Lanarkshire,S12000044,
Gartloch,S20001236,Gartloch,S19001543,Glasgow City,S12000046,
Gatehouse of Fleet,S20001237,Gatehouse of Fleet,S19001544,Dumfries and Galloway,S12000006,
Gauldry,S20001238,Gauldry,S19001545,Fife,S12000015,
Gifford,S20001239,Gifford,S19001547,East Lothian,S12000010,
Girvan,S20001240,Girvan,S19001548,South Ayrshire,S12000028,
Glassford,S20001241,Glassford,S19001550,South Lanarkshire,S12000029,
Glenboig,S20001242,Glenboig,S19001551,North Lanarkshire,S12000044,
Glenfarg,S20001243,Glenfarg,S19001552,Perth and Kinross,S12000024,
Glenluce,S20001244,Glenluce,S19001553,Dumfries and Galloway,S12000006,
Glenmavis,S20001245,Glenmavis,S19001554,North Lanarkshire,S12000044,
"Glenrothes, Settlement of",S20001246,Coaltown of Balgonie,S19001415,Fife,S12000015,
"Glenrothes, Settlement of",S20001246,Glenrothes,S19001556,Fife,S12000015,
"Glenrothes, Settlement of",S20001246,Leslie,S19001665,Fife,S12000015,
"Glenrothes, Settlement of",S20001246,Markinch,S19001697,Fife,S12000015,
"Glenrothes, Settlement of",S20001246,Thornton,S19001881,Fife,S12000015,
Golspie,S20001247,Golspie,S19001557,Highland,S12000017,
Gourdon,S20001248,Gourdon,S19001559,Aberdeenshire,S12000034,
Grantown-on-Spey,S20001249,Grantown-on-Spey,S19001563,Highland,S12000017,
Greater Glasgow (part),S20001250,Bearsden,S19001333,East Dunbartonshire,S12000045,
Greater Glasgow (part),S20001250,Bishopbriggs,S19001341,East Dunbartonshire,S12000045,
Greater Glasgow (part),S20001250,Bowling,S19001356,West Dunbartonshire,S12000039,
Greater Glasgow (part),S20001250,Busby,S19001378,East Renfrewshire,S12000011,
Greater Glasgow (part),S20001250,Cambuslang,S19001384,South Lanarkshire,S12000029,
Greater Glasgow (part),S20001250,Clarkston,S19001410,East Renfrewshire,S12000011,
Greater Glasgow (part),S20001250,Clydebank,S19001412,West Dunbartonshire,S12000039,
Greater Glasgow (part),S20001250,Duntocher and Hardgate,S19001489,West Dunbartonshire,S12000039,
Greater Glasgow (part),S20001250,Elderslie,S19001504,Renfrewshire,S12000038,
Greater Glasgow (part),S20001250,Faifley,S19001513,West Dunbartonshire,S12000039,
Greater Glasgow (part),S20001250,Giffnock,S19001546,East Renfrewshire,S12000011,
Greater Glasgow (part),S20001250,Glasgow (part),S19001549,Glasgow City,S12000046,
Greater Glasgow (part),S20001250,Glasgow (part),S19001549,Renfrewshire,S12000038,
Greater Glasgow (part),S20001250,Johnstone,S19001608,Renfrewshire,S12000038,
Greater Glasgow (part),S20001250,Kilbarchan,S19001614,Renfrewshire,S12000038,
Greater Glasgow (part),S20001250,Linwood,S19001674,Renfrewshire,S12000038,
Greater Glasgow (part),S20001250,Milngavie,S19001713,East Dunbartonshire,S12000045,
Greater Glasgow (part),S20001250,Netherlee,S19001738,East Renfrewshire,S12000011,
Greater Glasgow (part),S20001250,Newton Mearns,S19001755,East Renfrewshire,S12000011,
Greater Glasgow (part),S20001250,Old Kilpatrick,S19001767,West Dunbartonshire,S12000039,
Greater Glasgow (part),S20001250,Paisley,S19001771,Renfrewshire,S12000038,
Greater Glasgow (part),S20001250,Renfrew,S19001805,Renfrewshire,S12000038,
Greater Glasgow (part),S20001250,Rutherglen,S19001819,South Lanarkshire,S12000029,
Greater Glasgow (part),S20001250,Stamperland,S19001848,East Renfrewshire,S12000011,
Greater Glasgow (part),S20001250,Stepps (part),S19001852,Glasgow City,S12000046,
Greater Glasgow (part),S20001250,Stepps (part),S19001852,North Lanarkshire,S12000044,
Greater Glasgow (part),S20001250,Thornliebank,S19001880,East Renfrewshire,S12000011,
Greenlaw,S20001251,Greenlaw,S19001566,Scottish Borders,S12000026,
"Greenock, Settlement of",S20001252,Gourock,S19001560,Inverclyde,S12000018,
"Greenock, Settlement of",S20001252,Greenock,S19001567,Inverclyde,S12000018,
"Greenock, Settlement of",S20001252,Port Glasgow,S19001789,Inverclyde,S12000018,
Gretna,S20001253,Gretna,S19001568,Dumfries and Galloway,S12000006,
Gullane,S20001254,Gullane,S19001570,East Lothian,S12000010,
Haddington,S20001255,Haddington,S19001571,East Lothian,S12000010,
Halkirk,S20001256,Halkirk,S19001573,Highland,S12000017,
Hallglen,S20001257,Hallglen,S19001574,Falkirk,S12000014,
"Hamilton, Settlement of",S20001258,Blantyre,S19001349,South Lanarkshire,S12000029,
"Hamilton, Settlement of",S20001258,Bothwell,S19001355,South Lanarkshire,S12000029,
"Hamilton, Settlement of",S20001258,Hamilton,S19001575,South Lanarkshire,S12000029,
"Hamilton, Settlement of",S20001258,Uddingston,S19001898,South Lanarkshire,S12000029,
"Harthill, Settlement of (part)",S20001259,Eastfield,S19001499,North Lanarkshire,S12000044,
"Harthill, Settlement of (part)",S20001259,Harthill (part),S19001576,North Lanarkshire,S12000044,
"Harthill, Settlement of (part)",S20001259,Harthill (part),S19001576,West Lothian,S12000040,
Hatton of Cruden,S20001260,Hatton of Cruden,S19001577,Aberdeenshire,S12000034,
Hawick,S20001261,Hawick,S19001578,Scottish Borders,S12000026,
"Helensburgh, Settlement of",S20001262,Helensburgh,S19001580,Argyll and Bute,S12000035,
"Helensburgh, Settlement of",S20001262,Rhu,S19001807,Argyll and Bute,S12000035,
High Valleyfield,S20001263,"High Valleyfield, Low Valleyfield and Culross",S19001582,Fife,S12000015,
High Valleyfield,S20001263,Torryburn and Newmills,S19001890,Fife,S12000015,
Hillhead,S20001264,Hillhead,S19001583,South Ayrshire,S12000028,
Hillside,S20001265,Hillside,S19001584,Angus,S12000041,
Hopeman,S20001266,Hopeman,S19001586,Moray,S12000020,
Houston,S20001267,Houston,S19001587,Renfrewshire,S12000038,
Howwood,S20001268,Howwood,S19001588,Renfrewshire,S12000038,
Huntly,S20001269,Huntly,S19001589,Aberdeenshire,S12000034,
Inchture,S20001270,Inchture,S19001592,Perth and Kinross,S12000024,
Innellan,S20001271,Innellan,S19001593,Argyll and Bute,S12000035,
Innerleithen,S20001272,Innerleithen,S19001594,Scottish Borders,S12000026,
Insch,S20001273,Insch,S19001595,Aberdeenshire,S12000034,
Inverallochy and Cairnbulg,S20001274,Inverallochy and Cairnbulg,S19001596,Aberdeenshire,S12000034,
Inveraray,S20001275,Inveraray,S19001597,Argyll and Bute,S12000035,
